Type,Status,Created Date,Delivered,Delivery Date,Received,Receive Date,Withdrawn,Withdraw Date,Expired,Expire Date,Locker Name,Locker Box Door,Locker Size,Pickup Duration,Delivery Duration,Collect Duration,Send Duration,Location Type,Address,Latitude,longitude,Borough,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
Receive,Completed,04/15/2024 02:33:00 PM,TRUE,04/15/2024 04:39:00 PM,TRUE,04/15/2024 02:33:00 PM,TRUE,04/18/2024 06:30:00 PM,TRUE,04/17/2024 04:39:00 PM,508-1,17,S,03.01.50.37,00.02.06.51,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:41:00 PM,TRUE,04/15/2024 04:36:00 PM,TRUE,04/15/2024 02:41:00 PM,TRUE,04/15/2024 08:37:00 PM,TRUE,04/18/2024 04:36:00 PM,508-1,10,S,00.04.00.32,00.01.55.16,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:44:00 PM,TRUE,04/15/2024 04:37:00 PM,TRUE,04/15/2024 02:44:00 PM,TRUE,04/15/2024 06:48:00 PM,TRUE,04/16/2024 04:37:00 PM,508-1,18,S,00.02.10.52,00.01.53.15,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:46:00 PM,TRUE,04/15/2024 04:38:00 PM,TRUE,04/15/2024 02:46:00 PM,TRUE,04/15/2024 05:59:00 PM,TRUE,04/18/2024 04:38:00 PM,508-1,15,M,00.01.20.21,00.01.52.01,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:46:00 PM,TRUE,04/15/2024 04:35:00 PM,TRUE,04/15/2024 02:46:00 PM,TRUE,04/21/2024 08:20:00 PM,TRUE,04/18/2024 04:35:00 PM,508-1,11,S,06.03.45.08,00.01.49.27,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:50:00 PM,TRUE,04/15/2024 04:38:00 PM,TRUE,04/15/2024 02:50:00 PM,TRUE,04/15/2024 04:55:00 PM,TRUE,04/18/2024 04:38:00 PM,508-1,19,S,00.00.17.33,00.01.47.16,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:51:00 PM,TRUE,04/15/2024 04:39:00 PM,TRUE,04/15/2024 02:51:00 PM,TRUE,04/15/2024 08:04:00 PM,TRUE,04/18/2024 04:39:00 PM,508-1,25,M,00.03.25.08,00.01.47.25,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:54:00 PM,TRUE,04/15/2024 04:39:00 PM,TRUE,04/15/2024 02:54:00 PM,TRUE,04/15/2024 05:18:00 PM,TRUE,04/17/2024 04:39:00 PM,508-1,2,S,00.00.39.05,00.01.44.42,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:54:00 PM,TRUE,04/15/2024 04:37:00 PM,TRUE,04/15/2024 02:54:00 PM,TRUE,04/18/2024 06:30:00 PM,TRUE,04/17/2024 04:37:00 PM,508-1,17,S,03.01.53.07,00.01.43.19,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:56:00 PM,TRUE,04/15/2024 04:36:00 PM,TRUE,04/15/2024 02:56:00 PM,TRUE,04/16/2024 12:31:00 AM,TRUE,04/18/2024 04:36:00 PM,508-1,6,M,00.07.54.54,00.01.39.47,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
